score,selection,N,N_5d,N_10d,mean_return_5d,median_return_5d,std_return_5d,mean_return_10d,median_return_10d,std_return_10d,mean_MFE_5d,median_MFE_5d,mean_MAE_5d,median_MAE_5d,mean_MFE_10d,median_MFE_10d,mean_MAE_10d,median_MAE_10d,positive_5d_rate,positive_10d_rate,target_hit_5d_rate,stop_hit_5d_rate,target_hit_10d_rate,stop_hit_10d_rate,MFE_MAE_ratio_5d,evidence_strength,spearman_5d,spearman_10d,bootstrap_delta_low,bootstrap_delta_high
raw_TCS,TOP_1PCT,67,36,23,0.4010633055555554,0.110637,3.9794223304628726,3.209420739130435,2.466667,5.359496141795015,3.869686583333333,2.074933,-2.7198066388888886,-3.097835,5.77001152173913,4.830309,-2.396059782608696,-3.097835,0.5833333333333334,0.8260869565217391,0.2777777777777778,0.2222222222222222,0.6,0.0,1.4227800344344332,WEAK,0.3260340632603406,0.011312217194570044,-0.354037905546347,0.1657931726332808
raw_TCS,TOP_5PCT,302,190,107,0.2125383842105263,0.078309,3.112848929299607,1.7566211682242991,1.525282,4.454285953963892,3.271184131578948,2.466317,-2.517018078947368,-2.730978,5.008517037383177,4.36112,-2.98394323364486,-3.097835,0.5157894736842106,0.6448598130841121,0.2248062015503876,0.3953488372093023,0.5147058823529411,0.4117647058823529,1.2996267920916071,USEFUL_BUT_NOISY,-0.04730774212702595,-0.12782065962962869,-0.354037905546347,0.1657931726332808
raw_TCS,TOP_10PCT,593,379,208,0.0496022137203166,-0.107508,3.716856180112946,1.6772730480769231,1.185396,4.618089200687703,3.023238751978892,2.237878,-2.7620368891820584,-2.731933,4.8363335625,4.138275,-3.48598441826923,-3.097835,0.4828496042216358,0.6298076923076923,0.2068965517241379,0.3716475095785441,0.5,0.4411764705882353,1.0945685641708374,USEFUL_BUT_NOISY,0.031792681944311854,0.06294576962622139,-0.354037905546347,0.1657931726332808
raw_TCS,TOP_20PCT,1178,746,426,0.4755843847184987,0.117183,4.012087459716049,2.482520469483568,1.933996,5.220691801516035,3.3827500576407505,2.511748,-2.7957334142091157,-2.4506170000000003,5.755948147887324,4.6269,-3.4600023450704227,-2.893008,0.5241286863270778,0.6666666666666666,0.2785299806576402,0.3520309477756286,0.5290102389078498,0.4129692832764505,1.209968747538004,STRONGER_AGGREGATE,-0.11794357477257199,-0.11430061636180756,-0.354037905546347,0.1657931726332808
raw_TCS,GE_7.0,2246,1515,919,0.7042201801980198,0.534087,3.883153505454111,2.3945798063112083,2.042976,4.981824892369305,3.659349554455446,2.609444,-2.763036094389439,-2.366336,5.789076584330794,4.488983,-3.3268352698585426,-2.836591,0.5531353135313531,0.675734494015234,0.2912087912087912,0.315018315018315,0.5206106870229008,0.3816793893129771,1.3243944087035424,STRONGER_AGGREGATE,-0.09253956961641928,-0.034530451163494874,-0.354037905546347,0.1657931726332808
raw_TCS,GE_7.5,1153,737,431,0.4907467788331071,0.201893,3.9776905933774342,2.500043406032482,1.933996,5.223076637126987,3.293120280868385,2.374594,-2.766451442333786,-2.46581,5.711315348027842,4.431644,-3.356395893271462,-2.85836,0.5305291723202171,0.6682134570765661,0.2568627450980392,0.3588235294117647,0.5286195286195287,0.4141414141414141,1.1903770405925866,STRONGER_AGGREGATE,-0.12256458373387046,-0.1294129383648396,-0.354037905546347,0.1657931726332808
raw_TCS,GE_8.0,284,169,98,0.061593573964497,-0.08507,3.3083676977981127,1.588306224489796,1.1963805,4.257332692872065,3.3526563846153845,2.374594,-2.577874579881657,-2.731933,4.870275755102041,4.138275,-2.8309046122448973,-2.945351,0.4733727810650887,0.6428571428571429,0.23,0.33,0.5094339622641509,0.2830188679245283,1.3005506205694832,USEFUL_BUT_NOISY,-0.14938431285663425,-0.19774033364886814,-0.354037905546347,0.1657931726332808
raw_TCS,GE_8.5,26,12,6,-1.2619820000000004,-2.314994,4.362233162535571,1.3670289999999998,2.466667,2.124410821913408,3.4610935833333336,1.8347305,-3.27968325,-4.273005,4.175149833333333,3.266667,-2.5495755,-4.7210315000000005,0.4166666666666667,0.6666666666666666,0.75,0.25,1.0,0.0,1.055313370074178,DESCRIPTIVE_ONLY,0.6875,0.24999999999999994,-0.354037905546347,0.1657931726332808
confidence_adjusted_TCS,ALL,5848,3954,2587,1.2027377900859888,0.7280655,4.427378421240338,2.6655806722071897,1.976898,5.143069803486359,4.245471462063733,3.0251535,-2.632854900354072,-2.251482,6.336219749903362,4.881706,-3.090665573250869,-2.625,0.5872534142640364,0.6872825666795516,0.3213429256594724,0.2713257965056526,0.5468085106382978,0.3191489361702128,1.612497316693295,STRONGER_AGGREGATE,-0.08896084970327557,-0.02109419366327287,-0.3328162614627021,0.1155464026536822
confidence_adjusted_TCS,TOP_1PCT,67,36,23,0.1231814722222221,0.110637,4.148734970405898,3.1561102173913045,2.466667,5.3745860495093005,3.64695225,1.974388,-2.8605091666666667,-3.489773,5.291322652173912,4.138275,-2.8431123478260867,-3.620632,0.5833333333333334,0.8260869565217391,0.2777777777777778,0.3888888888888889,0.3,0.3,1.2749311529911196,WEAK,0.581508515815085,0.21945701357466063,-0.3328162614627021,0.1155464026536822
