from_value,to_value,count,percentage,N,N_1d,mean_return_1d,median_return_1d,mean_MFE_1d,median_MFE_1d,mean_MAE_1d,median_MAE_1d,hit_rate_1d,N_3d,mean_return_3d,median_return_3d,mean_MFE_3d,median_MFE_3d,mean_MAE_3d,median_MAE_3d,hit_rate_3d,N_5d,mean_return_5d,median_return_5d,mean_MFE_5d,median_MFE_5d,mean_MAE_5d,median_MAE_5d,hit_rate_5d,N_10d,mean_return_10d,median_return_10d,mean_MFE_10d,median_MFE_10d,mean_MAE_10d,median_MAE_10d,hit_rate_10d,target_before_stop_rate_10d,mean_time_to_target,mean_time_to_MFE_5d,mean_time_to_MFE_10d,from_decision_bucket,to_decision_bucket,true_decision_change
Extended momentum,Failed breakout,46,0.00786593707250342,46,46,-0.9196611875095286,-0.9166531469299077,1.0983578898651116,1.0468646579757657,-1.454184916387722,-1.1850395108862932,0.17391304347826086,43,-1.689011839940232,-1.9457547169811185,1.6198269884204857,1.2554718963403877,-3.214713150897419,-2.603198214949798,0.20930232558139536,37,-1.0023682119396005,-0.3187759005419233,1.8635964738547794,1.2554718963403877,-3.9323082152381117,-3.1043140835425698,0.43243243243243246,27,-0.8868266940346237,-0.5370201096892235,2.5644693276824664,1.895991332611047,-5.39124955439919,-3.64386792452831,0.48148148148148145,0.25,7.0,1.9189189189189189,5.555555555555555,WAIT_MANAGE,DANGER_AVOID,True
Trend repair,Failed breakout,45,0.007694938440492476,45,43,0.4466492328900494,0.3249046475490846,1.6965876104646958,0.9263071222725516,-0.7948895264909411,-0.6921881621698156,0.6046511627906976,41,0.19252346265064962,-0.0510099979595946,3.2453538987533266,1.7375335499364208,-1.8332701587698779,-1.4390045983229682,0.4878048780487805,37,0.8259281632822766,0.6314580941446657,4.043343412624763,2.623120787973044,-1.9861671144982322,-1.7375071797817276,0.7027027027027027,28,1.4725495689558692,1.1953546952748084,5.3193765193434235,3.1391519143680435,-2.3815675980520488,-2.4083447176838693,0.8214285714285714,0.7272727272727273,2.5,2.4054054054054053,5.392857142857143,WAIT_MANAGE,DANGER_AVOID,True
Trend repair,Tight base breakout,32,0.005471956224350205,32,29,0.39645337548510085,0.0813890396093253,2.2875024752495894,1.588846917714859,-2.122763516653818,-1.7977962497583655,0.5172413793103449,29,0.9862500827569178,0.7110208227526504,4.328453674642762,2.890005799342754,-2.8471360234782317,-2.0884520884520974,0.5862068965517241,29,1.5713035489935516,1.8492040796873388,5.093675075617622,3.7599072105161335,-3.000703360542935,-2.4090134163516463,0.6551724137931034,20,4.1453706589365265,3.135155801949918,7.3387474656348335,5.575122596652515,-3.6380965784945687,-2.754742159946621,0.8,0.46153846153846156,4.444444444444445,3.1724137931034484,5.55,WAIT_MANAGE,ENTRY_SETUP,True
Filtered pullback,Failed breakout,31,0.005300957592339261,31,30,0.04976436839197803,-0.4355039402737515,1.3003474138740563,1.0366702769611713,-1.3363588156136388,-1.3191407496227603,0.4,30,0.8263233264052233,0.4536290322580738,2.4046340068585628,1.5390320786204503,-1.6921766598743218,-1.7677235923110102,0.5666666666666667,25,2.0115473568800954,1.5610462111030676,4.002795444134835,2.419354838709676,-1.8854227617049977,-2.447032267993643,0.64,22,1.4841005500919573,0.9807546451346738,4.6654085230804565,3.4085879802418506,-2.4429961885262346,-2.6965725806451624,0.5909090909090909,1.0,3.0,3.32,4.954545454545454,WAIT_MANAGE,DANGER_AVOID,True
Overheated momentum,Volatility contraction setup,30,0.005129958960328317,30,23,0.06962775315225374,0.2913328477785804,1.4568454401681756,1.392682645327592,-1.5848641542223707,-1.3980868285504044,0.5217391304347826,20,-0.8364330565897706,0.2156721782890169,1.5539545896630873,1.6383964545776841,-3.195639360365098,-3.249460819554262,0.6,19,-1.2452588545590895,-1.238322832935046,1.5218553139502091,1.5528396836808067,-3.8307705016223217,-5.148815989572031,0.3684210526315789,7,-2.149054147493663,-1.3044751484173167,1.9059067968646204,2.1418174256601974,-7.765824132124832,-9.547088425593095,0.14285714285714285,0.0,,2.3157894736842106,2.7142857142857144,WAIT_MANAGE,ENTRY_SETUP,True
Overheated momentum,Extended momentum,30,0.005129958960328317,30,24,-0.12243790283375844,-0.2429897458327223,0.9749874671688623,0.903089066179652,-1.4996181342228982,-1.0082584777281578,0.375,17,0.23882715750614375,0.1271823332177124,2.3400280445949866,2.204331991566022,-2.905668745806154,-2.786573780873969,0.5294117647058824,17,-0.9234883496824755,-1.109954908081856,2.758882139035266,2.204331991566022,-3.397026987267332,-3.876715627257399,0.17647058823529413,15,-2.394958372679782,-1.2312910123128962,2.9851642672958385,2.204331991566022,-4.841659675083254,-4.593379045933787,0.06666666666666667,0.0,5.0,2.588235294117647,4.133333333333334,WAIT_MANAGE,WAIT_MANAGE,False
Momentum continuation,Tight base breakout,29,0.004958960328317373,29,25,0.3045866519547303,0.4994763554338144,2.0972841490434284,1.6119746689694736,-1.2677689882017775,-0.952664483477228,0.68,22,-0.23902492428359245,0.1851470890763318,2.7721402346301462,2.5906735751295207,-2.754844730634836,-2.022700814901046,0.5454545454545454,21,0.7353166298800847,0.0925735445381548,3.568956599508301,2.859493931289858,-3.0174116166182445,-3.096159571301005,0.5714285714285714,20,0.37590077162031177,0.26483454594252165,4.6532260071892155,3.8885555317320852,-3.475934684668124,-2.596016872889706,0.5,1.0,2.75,2.857142857142857,6.55,WAIT_MANAGE,ENTRY_SETUP,True
Clean bull pullback,Volatility contraction setup,21,0.003590971272229822,21,19,-0.2768351410866567,0.3407682775712572,0.9866820912034331,0.9389269277752188,-1.212867083948997,-0.4886877828054303,0.7368421052631579,18,0.4915231653060535,1.4307366440208582,2.022531320537231,2.827598952440624,-1.8211943396727568,-1.119851194285887,0.6111111111111112,17,1.1560495499856938,2.319480878089175,2.9342388474396146,3.283431878223686,-1.8772421674671254,-1.079961949527175,0.6470588235294118,5,2.4068371502475694,5.0920485703094265,5.232036721991036,6.311901964075872,-2.1255130030019154,-1.079961949527175,0.6,0.6,4.75,3.411764705882353,5.6,ENTRY_SETUP,ENTRY_SETUP,False
Momentum continuation,Failed breakout,20,0.003419972640218878,20,18,-0.23826062087374003,-0.04091782515791566,1.2182874085989102,1.3136079581685944,-1.4565526178631147,-0.8006405124099225,0.5,15,-0.7004091682735953,0.1721349955662088,1.9325274353186581,1.565762004175375,-2.5052861537951485,-1.8267223382045887,0.6666666666666666,15,0.04156752396653326,0.9514092590230838,2.2066043463860887,2.018093249826025,-2.600381248890244,-1.8267223382045887,0.6666666666666666,15,0.13195073411565847,-0.5839822024471641,2.8995129515641107,3.5939700589431967,-3.2630247513981865,-2.5175360285677906,0.4666666666666667,0.5714285714285714,6.0,2.8666666666666667,4.333333333333333,WAIT_MANAGE,DANGER_AVOID,True
Clean bull pullback,Clean bull pullback,14,0.0023939808481532147,14,14,-0.5272979860575947,-0.8748078969145423,1.3905999403081015,1.45009212492615,-1.080835617481767,-1.0511567207795225,0.14285714285714285,11,-1.0890337766247997,-1.2835062689148249,1.5055157983915988,0.9051942174063354,-2.0068647137338647,-1.8509511456982208,0.2727272727272727,11,-1.2966075770677563,-1.22354888284667,1.5055157983915988,0.9051942174063354,-2.887767867629766,-2.845330739299601,0.09090909090909091,0,,,,,,,,,,2.0,,ENTRY_SETUP,ENTRY_SETUP,False
Filtered momentum,Volatility contraction setup,14,0.0023939808481532147,14,12,0.5144096231377135,0.6048874157801643,1.7472043474336703,1.3301003699335179,-0.33982490360967194,-0.17418495289557295,0.8333333333333334,9,0.6519824168057656,0.8695652173912993,2.7521336122838544,2.7796890050915124,-1.4848858537808745,-1.6566129467903037,0.7777777777777778,6,2.7873073354889235,1.8944131638733652,5.880444120683516,3.9340408727647436,-1.6853564972934036,-1.588698497727692,0.8333333333333334,2,6.289459239154727,6.289459239154727,13.192113593012856,13.192113593012856,-2.4955363934131722,-2.4955363934131722,1.0,1.0,4.5,3.8333333333333335,6.0,WAIT_MANAGE,ENTRY_SETUP,True
Momentum continuation,Climax reversal risk,13,0.002222982216142271,13,1,0.0433804191632969,0.0433804191632969,2.133774367594832,2.133774367594832,-1.8978933383943848,-1.8978933383943848,1.0,1,2.076837567443013,2.076837567443013,4.012688772605277,4.012688772605277,-1.8978933383943848,-1.8978933383943848,1.0,1,3.858146029336007,3.858146029336007,4.413957649865807,4.413957649865807,-1.8978933383943848,-1.8978933383943848,1.0,1,-0.6534175636471962,-0.6534175636471962,4.717620584008908,4.717620584008908,-2.7519453406718464,-2.7519453406718464,0.0,,,5.0,6.0,WAIT_MANAGE,DANGER_AVOID,True
Filtered momentum,Failed breakout,9,0.0015389876880984952,9,8,1.3398827559122444,1.2739513205592967,2.1745078033030074,1.3464526152252798,-1.2753323035107191,-1.2025554302893648,0.75,8,1.2120708084945364,1.387881926462975,2.41106658675509,1.6157431382703311,-1.9685181665561753,-2.1420518602029315,0.75,8,4.216940769241561,4.246504401864337,5.019221746715153,4.774728120145011,-1.9685181665561753,-2.1420518602029315,1.0,8,4.008208465934901,4.58829621957535,5.523234651041631,5.592957017089595,-2.1846023454362973,-2.351113412739514,0.75,0.75,6.5,4.0,7.5,WAIT_MANAGE,DANGER_AVOID,True
Extended momentum,Tight base breakout,9,0.0015389876880984952,9,9,1.1720081914960114,0.4132231404958775,3.4209569670968727,2.4104683195592225,-0.40848187231510424,-1.1105235325224785,0.8888888888888888,9,0.7251125826966978,0.0751455945895207,3.824765015633955,2.4104683195592225,-1.8085061196538301,-1.888033064061612,0.5555555555555556,9,1.1020432881180868,-0.4884463648318626,4.1874563073260305,3.4843122249856417,-1.8241614518599798,-2.0289310539169603,0.4444444444444444,6,1.080605243577265,0.6302781917536027,4.704562610939504,3.53204537077908,-3.269123607879715,-4.870112960769651,0.5,1.0,1.0,2.2222222222222223,1.3333333333333333,WAIT_MANAGE,ENTRY_SETUP,True
