score,quantile,N,N_5d,N_10d,mean_return_5d,median_return_5d,std_return_5d,mean_return_10d,median_return_10d,std_return_10d,mean_MFE_5d,median_MFE_5d,mean_MAE_5d,median_MAE_5d,mean_MFE_10d,median_MFE_10d,mean_MAE_10d,median_MAE_10d,positive_5d_rate,positive_10d_rate,target_hit_5d_rate,stop_hit_5d_rate,target_hit_10d_rate,stop_hit_10d_rate,MFE_MAE_ratio_5d,evidence_strength
EQ,10,593,357,215,1.2655913473389357,0.749115,4.3356732876505335,3.7507282186046513,2.353301,5.930102552168262,4.0224192324929975,2.593338,-2.5648573893557423,-2.498423,6.703481493023256,4.670505,-2.8914893813953486,-2.754742,0.5742296918767507,0.7906976744186046,0.3543307086614173,0.3425196850393701,0.6013513513513513,0.30405405405405406,1.5682818269687016,USEFUL_BUT_NOISY
raw_TCS,1,576,394,276,1.286661421319797,0.8504495000000001,3.952429435782383,2.1743684057971016,1.599052,4.3765574859138425,4.183800972081219,3.380014,-2.4746520989847713,-1.794759,5.789733804347826,4.53007,-2.753727373188406,-2.151639,0.6421319796954315,0.6739130434782609,0.32653061224489793,0.3673469387755102,0.5190476190476191,0.319047619047619,1.6906622849319415,USEFUL_BUT_NOISY
raw_TCS,2,585,365,257,2.1499775479452055,1.36713,5.602224789722512,3.3974441361867704,2.34213,5.677815470155885,5.191085394520548,3.642937,-2.2091826136986303,-2.110698,7.04487313618677,4.944579,-2.7167807354085607,-2.488388,0.6191780821917808,0.7042801556420234,0.36220472440944884,0.21653543307086615,0.5872093023255814,0.2558139534883721,2.34977650210165,USEFUL_BUT_NOISY
raw_TCS,3,585,403,264,1.4818630049627792,0.805844,4.808118144657069,3.0439332007575755,1.89973,5.415853840378897,4.650541330024814,3.076923,-2.5958381166253104,-2.208366,6.977946867424243,4.8217395,-3.01468140530303,-2.428035,0.6004962779156328,0.7234848484848485,0.3549382716049383,0.20987654320987653,0.5454545454545454,0.2822966507177033,1.7915375000620983,USEFUL_BUT_NOISY
raw_TCS,4,585,386,258,1.5237755518134715,1.0159015,4.5459914820735845,3.02373188372093,2.371659,5.578860661711674,4.373016259067358,3.2462665,-2.761073730569948,-2.235294,6.643214166666667,5.600518,-3.1219540387596902,-2.649312,0.616580310880829,0.7054263565891473,0.31788079470198677,0.25165562913907286,0.6078431372549019,0.3088235294117647,1.5838100267480608,USEFUL_BUT_NOISY
raw_TCS,5,590,428,298,1.5104966985981307,0.9910875,4.555711790234509,2.891125731543624,1.9695425000000002,5.14530639450834,4.742924658878505,3.4138155,-2.571907691588785,-2.1854959999999997,6.950334694630873,5.577500499999999,-2.9873583624161073,-2.5608175,0.5957943925233645,0.697986577181208,0.37888198757763975,0.2329192546583851,0.6351351351351351,0.24774774774774774,1.8441270946036885,USEFUL_BUT_NOISY
raw_TCS,6,581,418,277,1.1174525789473686,0.48210749999999997,4.409159126474649,2.3243019458483754,1.451034,4.926945939645054,4.3987768349282295,3.0654595000000002,-2.7220981028708136,-2.3776479999999998,6.2218128122743686,4.739678,-3.2798884512635382,-3.18782,0.5765550239234449,0.6750902527075813,0.27358490566037735,0.21069182389937108,0.4461538461538462,0.3384615384615385,1.6159508837279362,USEFUL_BUT_NOISY
raw_TCS,7,583,404,278,1.0315670816831684,0.6153035,4.057691344179542,2.4102955035971223,1.557701,4.967057717442705,4.152118435643564,2.827381,-2.7842078539603956,-2.4622015,6.064054737410072,4.3388355,-3.322934550359712,-2.972546,0.5816831683168316,0.6906474820143885,0.2881944444444444,0.2881944444444444,0.47692307692307695,0.37435897435897436,1.491310510361999,USEFUL_BUT_NOISY
raw_TCS,8,587,411,254,0.9628562579075426,0.809882,3.8892975002694663,2.4084333503937003,2.184355,4.799421955971289,3.9305277591240873,2.809874,-2.599923099756691,-2.061198,5.918271421259843,4.851426,-2.913559933070866,-2.1803245,0.5888077858880778,0.6614173228346457,0.34551495016611294,0.2591362126245847,0.580110497237569,0.287292817679558,1.5117861599413915,USEFUL_BUT_NOISY
raw_TCS,9,583,366,217,0.9117394426229507,0.8143315,4.261449345795027,3.238723792626728,2.726767,5.651332384010442,3.753844978142076,3.0277365,-2.8367011666666664,-2.0683115,6.624547981566821,5.166705,-3.448404244239631,-2.46482,0.5655737704918032,0.7004608294930875,0.34901960784313724,0.3333333333333333,0.5512820512820513,0.391025641025641,1.3233135101619187,USEFUL_BUT_NOISY
