analysis_kind,slice_value,N,N_1d,mean_return_1d,median_return_1d,mean_MFE_1d,median_MFE_1d,mean_MAE_1d,median_MAE_1d,hit_rate_1d,N_3d,mean_return_3d,median_return_3d,mean_MFE_3d,median_MFE_3d,mean_MAE_3d,median_MAE_3d,hit_rate_3d,N_5d,mean_return_5d,median_return_5d,mean_MFE_5d,median_MFE_5d,mean_MAE_5d,median_MAE_5d,hit_rate_5d,N_10d,mean_return_10d,median_return_10d,mean_MFE_10d,median_MFE_10d,mean_MAE_10d,median_MAE_10d,hit_rate_10d,target_before_stop_rate_10d,mean_time_to_target,mean_time_to_MFE_5d,mean_time_to_MFE_10d,spearman_5d,spearman_10d,missing_sector_N,total_N,missing_sector_rate
MISSINGNESS_BY_SECTOR_LABEL,Consumer non-durables,219,184,0.15031315142478982,0.0582920431360989,1.6407287818661003,1.2617297960133222,-1.3702335390418419,-1.1470974044029358,0.5163043478260869,152,0.22446053378663247,-0.28261053977171047,2.504455679498285,1.7206780731563676,-2.4372304665434377,-2.0875972165370404,0.4342105263157895,131,0.1465879009039522,-0.1844709039074299,3.1664137380362587,2.237878159966855,-2.904603656892662,-2.7955271565495154,0.48854961832061067,96,1.2832744111125416,1.790757773484597,4.3900049097193135,4.254747659432079,-3.423160052958797,-2.8322832593635994,0.6770833333333334,0.4473684210526316,3.3684210526315788,2.7938931297709924,5.770833333333333,,,219.0,219.0,1.0
MISSINGNESS_BY_SECTOR_LABEL,Consumer services,282,233,0.13543523199668486,-0.0979858464888239,1.6927891536914736,1.2965808682289692,-1.3009570589920576,-1.1522346368715186,0.47639484978540775,197,0.8425241242477268,0.0,3.7762380865480885,1.9304556354916125,-2.6703692309269447,-2.310453117990119,0.49746192893401014,180,1.4661360098271283,0.04880690086910835,5.344078680910229,2.9954357540259546,-3.1719146889290175,-2.5785453374890577,0.5,126,2.372142114064138,1.4648542380612306,7.0939711184294145,4.437672960858007,-3.927617465459213,-3.206253441467899,0.6190476190476191,0.5054945054945055,5.326923076923077,3.05,5.595238095238095,,,282.0,282.0,1.0
MISSINGNESS_BY_SECTOR_LABEL,Distribution services,159,142,0.39848636061592785,0.1867989203022446,1.8570061200274879,1.5852180936995142,-1.0896419756598823,-0.7704558915310744,0.5704225352112676,128,1.252189369130393,0.4745521414165177,4.254133863793269,3.014606857971613,-2.1855728772342053,-1.8736988202637028,0.6015625,127,0.8159839266188849,-0.4423800044237924,5.14671615587838,3.8214108978940953,-2.9642506381393896,-2.399364628182077,0.44881889763779526,88,1.2683385267536627,-0.15897183087658634,6.367896940797834,4.552798937473179,-3.178132532953206,-3.002945494592757,0.48863636363636365,0.5961538461538461,2.625,2.8976377952755907,4.170454545454546,,,159.0,159.0,1.0
MISSINGNESS_BY_SECTOR_LABEL,Electronic technology,260,236,0.59120137148795,0.39693194035652635,2.1623236941815116,1.7738044557968011,-1.0236150268852382,-0.91618394609293,0.576271186440678,210,1.7383263670565117,0.970032642754981,4.391808342271874,3.0640373197625026,-1.631841275995208,-1.457681780977954,0.6190476190476191,194,2.010572485296361,1.92431510151585,5.393535114381072,3.7871387464008643,-1.7816403195465773,-1.6292226513626715,0.6237113402061856,113,3.007123834385551,1.9996537396121727,8.196954060325712,7.376040323525967,-2.465704026123,-2.0771302991634766,0.6637168141592921,0.8095238095238095,2.8867924528301887,3.1391752577319587,4.327433628318584,,,260.0,260.0,1.0
MISSINGNESS_BY_SECTOR_LABEL,Energy minerals,177,148,-0.036201147911370794,-0.2444673185795109,1.693623932870937,1.0135315743974416,-1.9517104594069432,-1.7969530380689713,0.4391891891891892,121,-0.5915318196253648,-1.2340867757859253,3.0729295578926763,1.534526854219953,-3.721960937974709,-3.555695405915682,0.39669421487603307,115,2.3108782571998834,4.092883394587377,4.790685969712237,4.631372228131903,-4.172197838848058,-3.769841269841268,0.6956521739130435,86,7.256644124910096,7.328136632673332,9.011846399758225,7.901785714285725,-4.844359574557821,-4.354908216134068,0.9302325581395349,0.6857142857142857,3.32,3.3130434782608695,8.627906976744185,,,177.0,177.0,1.0
MISSINGNESS_BY_SECTOR_LABEL,Finance,1398,1179,0.1278587003712579,0.0824931255728689,1.356679138612165,1.143147466023109,-1.033016335073516,-0.8691873098652936,0.5318066157760815,1024,0.31542668178729133,0.3661456132938889,2.402105479734305,1.9501955963974527,-1.8524593554404785,-1.551614946168456,0.5380859375,927,0.6365821455920346,0.5715918833952394,3.1861517115018114,2.6567944250871056,-2.235916061777755,-1.8746041798606727,0.5771305285868392,541,1.4506216814166026,1.1989630589760214,4.581508106548912,4.0473610896146095,-2.638181743926101,-2.2657807308970046,0.6598890942698706,0.579136690647482,4.351351351351352,3.0765911542610573,5.99815157116451,,,1398.0,1398.0,1.0
MISSINGNESS_BY_SECTOR_LABEL,Health services,112,99,0.5931219058000288,0.1579778830963718,2.535924705484614,1.6093445814406415,-1.6831634808963247,-1.492537313432829,0.5656565656565656,83,1.9941122360878683,1.4117647058823346,4.440324896745024,2.827380952380953,-3.8274619316425373,-3.577842243403795,0.6024096385542169,81,3.452715012047656,3.2244501940491777,6.221452385898518,4.294117647058826,-4.134942786498198,-3.7974025974025993,0.7283950617283951,56,5.3781220131903495,3.932781981347877,8.044570510149402,6.076234751823284,-4.010767629236229,-3.9027861691906915,0.7678571428571429,0.5151515151515151,3.76,3.2098765432098766,5.875,,,112.0,112.0,1.0
MISSINGNESS_BY_SECTOR_LABEL,Health technology,555,461,0.6197162884480474,0.4994763554338144,1.9979409498428666,1.623563218390811,-1.13058890740208,-1.0018287349924493,0.6247288503253796,376,1.8846079798863868,1.392655328798842,3.888517346434457,2.9252586147838766,-1.9096981975687974,-1.5877549466829788,0.723404255319149,361,1.9007148250165675,1.3051172393452326,4.892394929759195,4.084108370400319,-2.410846833507899,-1.9538188277086976,0.6481994459833795,266,4.230984862920271,3.76458112407212,7.529551135746005,7.005974151625926,-2.5934308097193686,-2.351113412739514,0.8195488721804511,0.8055555555555556,4.863636363636363,3.3490304709141276,6.7669172932330826,,,555.0,555.0,1.0
MISSINGNESS_BY_SECTOR_LABEL,Industrial services,171,139,0.5980337272195454,0.2022430593859203,1.9861412257353779,1.5046766978446646,-1.0569128915676624,-0.9515717926932954,0.5323741007194245,112,2.2142599278178525,1.4958403841894397,4.257322065235551,3.073633747382909,-1.5030539947264445,-1.0307259150446724,0.7142857142857143,107,3.8719684162252763,3.223070398642913,6.362647144944513,4.880423143070378,-1.5808868057725147,-1.159420289855062,0.8878504672897196,82,5.838213932135925,4.975208958645993,9.079609404677772,7.285193914720378,-1.698464752475759,-1.4512907124211383,0.975609756097561,0.9361702127659575,4.044444444444444,4.158878504672897,8.158536585365853,,,171.0,171.0,1.0
MISSINGNESS_BY_SECTOR_LABEL,Miscellaneous,29,20,1.8700738186068506,2.051835853131756,3.006098177163218,2.134900893290159,-0.8387128320625485,-0.7178210330131995,0.7,14,3.3030353156855745,1.8832621517185344,5.854114096500674,4.249102316539988,-1.9568981011379907,-1.2723845428840752,0.7857142857142857,14,3.3944612500028173,3.7574663603544445,6.917927972828385,4.276911716442411,-2.1749366217245227,-1.2723845428840752,0.7857142857142857,12,6.957511290711075,4.388111888111879,8.537202343477048,8.049533799533794,-2.2396522591813093,-1.2723845428840752,0.9166666666666666,,,3.4285714285714284,8.75,,,29.0,29.0,1.0
