setup_type,analysis_kind,slice_value,N,N_5d,N_10d,mean_return_5d,median_return_5d,std_return_5d,mean_return_10d,median_return_10d,std_return_10d,mean_MFE_5d,median_MFE_5d,mean_MAE_5d,median_MAE_5d,mean_MFE_10d,median_MFE_10d,mean_MAE_10d,median_MAE_10d,positive_5d_rate,positive_10d_rate,target_hit_5d_rate,stop_hit_5d_rate,target_hit_10d_rate,stop_hit_10d_rate,MFE_MAE_ratio_5d,evidence_strength
extended_momentum,TRIGGER_STATE,approaching,5,1,0,0.298733,0.298733,,,,,2.146897,2.146897,-0.083645,-0.083645,,,,,1.0,,0.0,0.0,,,25.66677027915596,DESCRIPTIVE_ONLY
extended_momentum,TRIGGER_STATE,at_trigger,31,23,9,-1.6306011739130435,-1.632973,1.8723489851648834,-0.2750842222222223,0.466877,1.8861285874793756,1.8774453913043478,1.521125,-3.4091946956521735,-3.478214,3.6749038888888887,3.205047,-4.422282444444444,-4.618715,0.2608695652173913,0.5555555555555556,0.15,1.0,0.2857142857142857,1.0,0.5507005492231636,DESCRIPTIVE_ONLY
extended_momentum,TRIGGER_STATE,beyond_trigger,12,12,6,-0.4942876666666667,-0.44238,1.0527663264532536,-4.018012333333332,-3.5271049999999997,3.0997043342052266,2.166516,2.289183,-4.106147083333334,-2.9958185,1.5197623333333332,1.3329095,-5.8123535,-5.4208585,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.5276274707240252,DESCRIPTIVE_ONLY
extended_momentum,TRIGGER_STATE,freshly_triggered,31,18,14,0.10320077777777785,1.221949,3.468066124294863,0.5127564285714286,1.241349,2.1669909226398114,3.9581343333333336,2.35974,-3.9931999444444446,-3.876716,5.1553510000000005,5.3887475,-3.8752449999999996,-3.799206,0.6111111111111112,0.6428571428571429,0.5,0.25,0.3333333333333333,0.16666666666666666,0.9912186688372827,DESCRIPTIVE_ONLY
extended_momentum,TRIGGER_STATE,invalidated,9,3,2,-0.10530166666666667,-0.318776,0.3697483914452277,-3.602168,-3.602168,0.0,1.0671796666666666,0.828817,-2.129766333333333,-2.422697,0.828817,0.828817,-3.920944,-3.920944,0.3333333333333333,0.0,0.0,1.0,0.0,1.0,0.5010782873050706,DESCRIPTIVE_ONLY
extended_momentum,TRIGGER_STATE,near,122,91,41,0.6142294615384615,0.75874,3.020091943516405,0.1920019024390244,-0.551164,3.748163251944503,2.919489791208791,2.559367,-2.2228686153846153,-2.26367,4.5939624390243905,3.741007,-2.9103558780487804,-2.76259,0.5604395604395604,0.4146341463414634,0.07462686567164178,0.6268656716417911,0.29411764705882354,0.7941176470588235,1.3133883716755979,WEAK
extended_momentum,TRIGGER_STATE,too_far_below,1,0,0,,,,,,,,,,,,,,,,,,,,,,DESCRIPTIVE_ONLY
extended_momentum,STAGE,Stage 1,31,22,12,-0.6571757727272726,-0.1563315,2.7334427091198683,0.762107,1.119735,1.3575621567569367,1.8028456818181817,1.915783,-3.436265818181819,-3.1726335,3.278461333333334,4.071765,-2.7450299166666667,-3.1196785,0.5,0.75,0.0,0.7058823529411765,0.5,0.8,0.52465256682968,DESCRIPTIVE_ONLY
extended_momentum,STAGE,Stage 2,124,83,44,0.6225280000000001,0.403668,2.8428537136693235,-0.04466181818181807,-0.609251,3.8970814113652743,3.1084590361445787,2.435585,-2.19141065060241,-2.379554,4.812638522727273,3.4214215,-3.5030833409090913,-3.224002,0.5421686746987951,0.4318181818181818,0.14545454545454545,0.6181818181818182,0.22580645161290322,0.7096774193548387,1.4184740022551574,WEAK
extended_momentum,STAGE,Unknown,56,43,16,-0.5328351860465116,-0.319818,2.8459870315090554,-1.6198540000000001,-0.793842,2.6560935147638407,2.6461199069767445,2.35974,-3.5077185581395356,-2.882843,3.3300053750000003,3.074418,-4.313659124999999,-4.5601135,0.4186046511627907,0.1875,0.125,0.65625,0.18181818181818182,0.9090909090909091,0.7543706438010876,WEAK
extended_momentum,MARKET_REGIME,Bull trend,22,10,0,-1.0084341,-1.421847,1.9945598697287386,,,,3.5323869,2.3601845,-2.9919742,-3.174758,,,,,0.2,,0.3,0.7,,,1.180620775406419,DESCRIPTIVE_ONLY
extended_momentum,MARKET_REGIME,Choppy,35,0,0,,,,,,,,,,,,,,,,,,,,,,DESCRIPTIVE_ONLY
extended_momentum,MARKET_REGIME,Distribution,154,138,72,0.17669844202898558,0.31019,2.9140897625895312,-0.2602430555555555,-0.540451,3.4052789722071637,2.7255361739130435,2.3758295,-2.742007884057971,-2.498423,4.227468291666667,3.4214215,-3.556869055555555,-3.740934,0.5217391304347826,0.4305555555555556,0.09574468085106383,0.6382978723404256,0.2692307692307692,0.7692307692307693,0.9939928290357245,USEFUL_BUT_NOISY
momentum_continuation,ALL,ALL,121,81,39,-1.450891802469136,-1.682338,3.662945720040912,-0.006599256410256456,-0.274376,4.275104248880597,2.096070358024691,1.360071,-3.8660449135802466,-3.493661,4.042398692307692,2.512168,-4.169670282051281,-4.223969,0.2962962962962963,0.4358974358974359,0.12280701754385964,0.6666666666666666,0.32,0.48,0.5421743422229343,WEAK
momentum_continuation,SQ_QUARTILE,1,31,26,15,-1.116544,-1.1556315000000001,4.499522226139785,0.12760766666666665,-3.454871,5.393070288026686,2.122364346153846,1.576174,-3.7865125000000006,-3.2984475,4.665017666666667,5.065,-4.203740466666667,-4.223969,0.4230769230769231,0.4,0.09523809523809523,0.6190476190476191,0.4,0.5,0.5605063620293993,DESCRIPTIVE_ONLY
momentum_continuation,SQ_QUARTILE,2,30,23,5,-2.205793652173913,-1.682338,2.447502680788106,-0.5740646,-0.236351,2.5764092106764216,1.5222551304347829,1.036669,-3.6155510869565224,-2.963981,2.2142527999999997,1.67809,-3.6692316000000007,-2.861635,0.08695652173913043,0.4,0.0,0.8333333333333334,,,0.4210299049366159,DESCRIPTIVE_ONLY
momentum_continuation,SQ_QUARTILE,3,30,22,13,-1.2633054545454545,-2.5603154999999997,4.078173001169083,0.23653223076923074,0.452233,3.60273487195404,2.3003569545454545,1.153785,-4.110157818181818,-4.296703,4.154688846153847,2.497234,-3.765879769230769,-3.097835,0.36363636363636365,0.5384615384615384,0.2777777777777778,0.5555555555555556,0.3333333333333333,0.4166666666666667,0.5596760650818627,DESCRIPTIVE_ONLY
momentum_continuation,SQ_QUARTILE,4,30,10,6,-0.9966117999999999,-2.268058,2.7352099248521147,-0.3960136666666667,-2.3311390000000003,4.504402605123732,2.8980505,2.8127445,-4.1119166,-4.0282925,3.766010833333333,3.051631,-5.376406499999999,-5.827536,0.3,0.3333333333333333,0.0,0.8333333333333334,0.0,0.6666666666666666,0.7047931127786007,DESCRIPTIVE_ONLY
momentum_continuation,TRIGGER_STATE,beyond_trigger,62,45,19,-0.7715347111111113,-1.332561,3.742388434597086,1.4844743684210526,1.185396,4.199895675752385,2.341518511111111,1.275571,-3.386681,-3.097835,4.887076368421053,3.058288,-3.022403315789474,-3.097835,0.3333333333333333,0.5789473684210527,0.15151515151515152,0.6363636363636364,0.5,0.21428571428571427,0.6913903349949733,WEAK
momentum_continuation,TRIGGER_STATE,extended_beyond_trigger,56,36,20,-2.300088166666667,-2.5282635,3.424297475018368,-1.4231192,-2.2957865,3.9378735174830024,1.7892601666666665,1.576174,-4.465249805555555,-4.0282925,3.2399549,2.369365,-5.2595739,-4.576857,0.25,0.3,0.08333333333333333,0.7083333333333334,0.09090909090909091,0.8181818181818182,0.4007077419141282,WEAK
momentum_continuation,TRIGGER_STATE,freshly_triggered,3,0,0,,,,,,,,,,,,,,,,,,,,,,DESCRIPTIVE_ONLY
