setup_type,setup_model,analysis_kind,N,N_1d,mean_return_1d,median_return_1d,mean_MFE_1d,median_MFE_1d,mean_MAE_1d,median_MAE_1d,hit_rate_1d,N_3d,mean_return_3d,median_return_3d,mean_MFE_3d,median_MFE_3d,mean_MAE_3d,median_MAE_3d,hit_rate_3d,N_5d,mean_return_5d,median_return_5d,mean_MFE_5d,median_MFE_5d,mean_MAE_5d,median_MAE_5d,hit_rate_5d,N_10d,mean_return_10d,median_return_10d,mean_MFE_10d,median_MFE_10d,mean_MAE_10d,median_MAE_10d,hit_rate_10d,target_before_stop_rate_10d,mean_time_to_target,mean_time_to_MFE_5d,mean_time_to_MFE_10d,spearman_5d,spearman_10d,slice_value
extended_momentum,HYBRID_PRIMARY_CONFIRMATION,ALL,211,195,-0.00695564121472384,-0.2049705354855158,1.3967917457390446,1.0455635491606774,-1.2399355610161609,-0.9683098591549256,0.4358974358974359,155,-0.23165522764794982,-0.0950703240779504,2.1329225783125887,1.5539568345323884,-2.343242382886438,-2.3147295388960543,0.4838709677419355,148,0.09662196115181648,0.08362735595986434,2.7800531192739455,2.375829257712747,-2.758897474661906,-2.508276051265029,0.5,72,-0.2602429408473676,-0.540450553329902,4.227468309682338,3.421421549796011,-3.5568690881678413,-3.7409339610637415,0.4305555555555556,0.25,4.071428571428571,2.9054054054054053,5.486111111111111,0.08556012942965338,0.10742007780214864,
extended_momentum,HYBRID_PRIMARY_CONFIRMATION,TOP_20_PCT_WITHIN_SETUP,53,49,-0.13916664400099052,-0.457902034761859,1.475565898360466,0.922909880564604,-1.8229248227856998,-0.9706233272064768,0.3877551020408163,37,0.05132238094464088,-0.6925945657964783,2.780105499536136,2.374593590339069,-3.037069795350069,-2.816370880115904,0.4594594594594595,35,0.3809089986805008,0.7123180945491026,3.641149684264218,2.5117475945401813,-3.3369222605117894,-2.857619855866877,0.6,17,-0.42114643992658496,1.5252820727120753,5.148693318308372,2.8502930207778387,-5.120473790322343,-6.248338207923432,0.5882352941176471,0.3333333333333333,1.0,2.8,5.117647058823529,0.08556012942965338,0.10742007780214864,
momentum_continuation,CURRENT_TYPE_SPECIFIC,ALL,121,97,-0.7838670988887531,-1.1117752540346748,1.2015108677001776,0.921452336178219,-1.7420048686551717,-1.5667841754798406,0.25773195876288657,88,-1.1276930948424528,-1.0946853699496162,1.6246307530597164,0.9437845466305994,-3.0846353387204073,-2.788938785157169,0.29545454545454547,81,-1.4508917958863363,-1.6823376247649402,2.096070332270618,1.3600714782090684,-3.8660449277520486,-3.493661085841482,0.2962962962962963,39,-0.00659923140754697,-0.274375961988893,4.042398732404659,2.512168315277141,-4.169670263250336,-4.223968565815328,0.4358974358974359,0.4,3.625,2.493827160493827,5.923076923076923,0.051547267230544515,-0.006935881627620222,
momentum_continuation,CURRENT_TYPE_SPECIFIC,TOP_20_PCT_WITHIN_SETUP,33,19,-0.3384028428906434,-1.610017889087656,1.8612621143351984,1.9743877311494185,-1.6859997365850585,-1.813735479926637,0.42105263157894735,17,-0.39918929597286024,-0.4935419510658345,2.393068532991574,1.9743877311494185,-3.2078450524509363,-2.8748127747982744,0.35294117647058826,15,-0.26466235627151363,-1.744186046511631,3.636563035242238,3.3989266547406194,-3.827689755587184,-3.941229028094906,0.4,11,-0.13664296849323912,-1.1367020748535794,5.301921552956301,3.876700089347773,-4.563680974566994,-5.439462354300117,0.45454545454545453,0.42857142857142855,4.0,2.8,4.909090909090909,0.051547267230544515,-0.006935881627620222,
momentum_continuation,OLD_MAX,ALL,121,97,-0.7838670988887531,-1.1117752540346748,1.2015108677001776,0.921452336178219,-1.7420048686551717,-1.5667841754798406,0.25773195876288657,88,-1.1276930948424528,-1.0946853699496162,1.6246307530597164,0.9437845466305994,-3.0846353387204073,-2.788938785157169,0.29545454545454547,81,-1.4508917958863363,-1.6823376247649402,2.096070332270618,1.3600714782090684,-3.8660449277520486,-3.493661085841482,0.2962962962962963,39,-0.00659923140754697,-0.274375961988893,4.042398732404659,2.512168315277141,-4.169670263250336,-4.223968565815328,0.4358974358974359,0.4,3.625,2.493827160493827,5.923076923076923,0.03092410292740633,0.5349077779668906,
momentum_continuation,OLD_MAX,TOP_20_PCT_WITHIN_SETUP,32,25,-0.8282583831142557,-0.3781611912077598,1.0565327034492051,0.9437845466305994,-1.8710716370677472,-1.5667841754798406,0.32,23,-0.6822570113855492,-1.4290949065591807,1.7597453971330619,0.9437845466305994,-2.9535843048992203,-2.788938785157169,0.30434782608695654,21,-1.6803383589334455,-2.492146596858636,2.2544374058238525,1.0252515663565551,-4.437416095344128,-3.874345549738223,0.23809523809523808,11,1.5743882662922624,-0.236350744504854,5.255702103909886,4.173228346456703,-4.3460809612146045,-2.788938785157169,0.45454545454545453,0.6666666666666666,3.75,2.380952380952381,7.2727272727272725,0.03092410292740633,0.5349077779668906,
momentum_continuation,HYBRID_PRIMARY_CONFIRMATION,ALL,121,97,-0.7838670988887531,-1.1117752540346748,1.2015108677001776,0.921452336178219,-1.7420048686551717,-1.5667841754798406,0.25773195876288657,88,-1.1276930948424528,-1.0946853699496162,1.6246307530597164,0.9437845466305994,-3.0846353387204073,-2.788938785157169,0.29545454545454547,81,-1.4508917958863363,-1.6823376247649402,2.096070332270618,1.3600714782090684,-3.8660449277520486,-3.493661085841482,0.2962962962962963,39,-0.00659923140754697,-0.274375961988893,4.042398732404659,2.512168315277141,-4.169670263250336,-4.223968565815328,0.4358974358974359,0.4,3.625,2.493827160493827,5.923076923076923,-0.10375692109106968,-0.050914508836826966,
momentum_continuation,HYBRID_PRIMARY_CONFIRMATION,TOP_20_PCT_WITHIN_SETUP,33,19,-0.9601899145226052,-1.6507030772366038,1.7199563718713626,1.2838801711840375,-1.9515029385316673,-2.211321546613509,0.3157894736842105,17,-1.798298654659268,-2.8195930847936146,1.6583799796546836,1.2838801711840375,-3.745405169769228,-4.221886210679237,0.17647058823529413,15,-2.4494577845241117,-2.791929896066836,2.1055441318290047,1.9743877311494185,-4.43692455521458,-4.221886210679237,0.13333333333333333,7,-3.281215339984246,-3.5255757081719907,2.4039896333563897,1.998845810817884,-5.722953691356756,-6.215610352557565,0.14285714285714285,0.0,,2.066666666666667,3.2857142857142856,-0.10375692109106968,-0.050914508836826966,
none,CURRENT_TYPE_SPECIFIC,ALL,421,357,0.21489225085680738,0.1520372998175645,1.77393793154249,1.2732138512691726,-1.1864237305373724,-0.9484536082474238,0.5406162464985994,318,0.9001075401046416,0.12724983211422894,3.4671018357288577,2.2259983007646422,-2.0246783295596815,-1.6485690935710062,0.5251572327044025,285,1.1442826449293984,0.6972616632860085,4.256830002571962,3.093172387778176,-2.372253836787828,-1.916300921060776,0.6070175438596491,176,1.2569649224031005,0.285632676378178,5.885519580134711,4.0473610896146095,-3.051123077998123,-2.4534096934348715,0.5227272727272727,0.44642857142857145,3.75,3.101754385964912,5.5852272727272725,-0.0014744285319726782,-0.04499840106681622,
none,CURRENT_TYPE_SPECIFIC,TOP_20_PCT_WITHIN_SETUP,22,14,0.3458335667939952,0.39370540434179313,1.8296534878690969,1.629966522963966,-0.7746549331065318,-0.43645328606481404,0.6428571428571429,9,0.834555753165003,-0.0503792437515748,3.5333835514810334,2.571268865287868,-1.6235929757255485,-2.2866578969464646,0.4444444444444444,8,1.1862658034872229,0.851331308515979,4.243877758382994,3.807481585628314,-1.7302748400772727,-1.8605900783873253,0.75,0,,,,,,,,,,3.125,,-0.0014744285319726782,-0.04499840106681622,
