from_value,to_value,count,percentage,N,N_1d,mean_return_1d,median_return_1d,mean_MFE_1d,median_MFE_1d,mean_MAE_1d,median_MAE_1d,hit_rate_1d,N_3d,mean_return_3d,median_return_3d,mean_MFE_3d,median_MFE_3d,mean_MAE_3d,median_MAE_3d,hit_rate_3d,N_5d,mean_return_5d,median_return_5d,mean_MFE_5d,median_MFE_5d,mean_MAE_5d,median_MAE_5d,hit_rate_5d,N_10d,mean_return_10d,median_return_10d,mean_MFE_10d,median_MFE_10d,mean_MAE_10d,median_MAE_10d,hit_rate_10d,target_before_stop_rate_10d,mean_time_to_target,mean_time_to_MFE_5d,mean_time_to_MFE_10d,from_decision_bucket,to_decision_bucket,true_decision_change
"Improving, not ready","Entry candidate, confirm R/R",5,0.0008549931600547196,5,5,1.0638876408314557,1.4611338398597296,2.171826896081517,2.4683032101429747,-1.0061776279313548,-0.6195207481005327,0.8,5,0.6389875561570714,-0.4909409701928768,2.745227423900103,2.967359050445117,-1.9057274834187865,-1.537631507957915,0.4,5,-1.0475142416796013,-1.5985324947589086,2.986022280708986,2.967359050445117,-2.5921027102556615,-2.845967089290536,0.2,0,,,,,,,,,,3.0,,WAIT_CONFIRM,ENTRY,True
"Momentum, HTF failed",Defensive / wait for confirmation,4,0.0006839945280437756,4,4,0.8948197564013882,0.8948197564013882,4.9867726722689465,4.9867726722689465,-0.3271158034998056,-0.3271158034998056,1.0,4,1.8412682538106684,1.8412682538106684,5.677865256735815,5.6778652567358145,-0.3271158034998056,-0.3271158034998056,1.0,4,3.223029026374447,3.2230290263744465,5.677865256735815,5.6778652567358145,-0.3271158034998056,-0.3271158034998056,1.0,4,0.7192765013698144,0.7192765013698144,6.237321158447095,6.237321158447095,-0.4147244382068426,-0.4147244382068426,0.5,,,1.5,4.0,WAIT_CONFIRM,WAIT_CONFIRM,False
No clear trade,Wait for trend repair,3,0.0005129958960328317,3,2,1.228836040638126,1.228836040638126,2.110779473526858,2.110779473526858,0.18042703072287958,0.18042703072287958,1.0,2,-3.173015470211304,-3.173015470211304,2.110779473526858,2.110779473526858,-5.484718154368645,-5.484718154368645,0.0,2,-0.5844527119719445,-0.5844527119719445,2.137520273103244,2.137520273103244,-5.484718154368645,-5.484718154368645,0.5,1,-5.79083929044214,-5.79083929044214,3.0447445062218748,3.0447445062218748,-6.84617421233783,-6.84617421233783,0.0,,,3.0,5.0,NO_TRADE,WAIT_CONFIRM,True
"Good chart, Sector RS failed","Setup candidate, wait for trigger",3,0.0005129958960328317,3,1,-1.843097812421424,-1.843097812421424,1.4156399295951694,1.4156399295951694,-2.3987930600955387,-2.3987930600955387,0.0,1,0.1307518229821669,0.1307518229821669,1.765149610258998,1.765149610258998,-2.9821473472466664,-2.9821473472466664,1.0,1,-1.87578576816696,-1.87578576816696,1.765149610258998,1.765149610258998,-2.9821473472466664,-2.9821473472466664,0.0,0,,,,,,,,,,3.0,,WAIT_CONFIRM,WAIT_CONFIRM,False
"Good chart, RS failed",Avoid,2,0.0003419972640218878,2,2,1.091165082717338,1.091165082717338,1.2178810278071106,1.2178810278071106,-0.0422386483632575,-0.0422386483632575,1.0,2,0.8658922914466682,0.8658922914466682,2.1048926434353854,2.1048926434353854,-0.0422386483632575,-0.0422386483632575,1.0,0,,,,,,,,0,,,,,,,,,,,,WAIT_CONFIRM,AVOID,True
"Momentum, R/R failed",No qualified setup,2,0.0003419972640218878,2,2,14.103092783505168,14.103092783505168,14.666666666666671,14.666666666666671,-2.9140893470790408,-2.9140893470790408,1.0,2,13.745704467353947,13.745704467353947,19.36769759450172,19.36769759450172,-2.9140893470790408,-2.9140893470790408,1.0,2,17.168384879725075,17.168384879725075,19.36769759450172,19.36769759450172,-2.9140893470790408,-2.9140893470790408,1.0,2,4.59106529209623,4.59106529209623,19.36769759450172,19.36769759450172,-2.9140893470790408,-2.9140893470790408,1.0,1.0,1.0,2.0,2.0,WAIT_CONFIRM,NO_TRADE,True
"Buyable, R/R ok",Avoid,2,0.0003419972640218878,2,2,0.1430184161916648,0.1430184161916648,0.7699759788804439,0.7699759788804439,-0.5858077200548595,-0.5858077200548595,0.5,2,0.88827246133234,0.88827246133234,1.3042532444366817,1.3042532444366817,-0.7659407479050862,-0.7659407479050862,1.0,2,0.09656648617794586,0.09656648617794586,2.121798967805355,2.121798967805355,-0.7659407479050862,-0.7659407479050862,0.5,0,,,,,,,,,,4.5,,ENTRY,AVOID,True
"Momentum, HTF failed","Setup candidate, wait for trigger",2,0.0003419972640218878,2,2,-0.24659419217487044,-0.24659419217487044,0.28573220326545967,0.28573220326545967,-0.9463660224412473,-0.9463660224412473,0.5,1,-2.6173759373358307,-2.6173759373358307,-0.4441897119931259,-0.4441897119931259,-3.520084061708939,-3.520084061708939,0.0,1,-3.219181353584566,-3.219181353584566,-0.4441897119931259,-0.4441897119931259,-4.480106987629551,-4.480106987629551,0.0,0,,,,,,,,,,1.0,,WAIT_CONFIRM,WAIT_CONFIRM,False
"Best buyable, R/R ok","Setup candidate, wait for trigger",1,0.0001709986320109439,1,1,1.1843663639952595,1.1843663639952595,1.5791551519936942,1.5791551519936942,-0.0789577575996847,-0.0789577575996847,1.0,0,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,ENTRY,WAIT_CONFIRM,True
Avoid chasing,Avoid,1,0.0001709986320109439,1,1,-3.8167482976944167,-3.8167482976944167,-1.2543304264723387,-1.2543304264723387,-5.083024728228402,-5.083024728228402,0.0,1,-6.220881615099749,-6.220881615099749,-1.2543304264723387,-1.2543304264723387,-7.421455023294698,-7.421455023294698,0.0,1,-3.86154581292556,-3.86154581292556,-1.2543304264723387,-1.2543304264723387,-7.478198542587499,-7.478198542587499,0.0,1,-6.226854617130561,-6.226854617130561,-1.2543304264723387,-1.2543304264723387,-7.478198542587499,-7.478198542587499,0.0,,,1.0,1.0,AVOID,AVOID,False
"Momentum, HTF failed",No qualified setup,1,0.0001709986320109439,1,1,3.430944055944063,3.430944055944063,4.425262237762229,4.425262237762229,0.5791083916083961,0.5791083916083961,1.0,1,2.8955419580419584,2.8955419580419584,4.425262237762229,4.425262237762229,0.2950174825175011,0.2950174825175011,1.0,1,5.233828671328689,5.233828671328689,5.277534965034958,5.277534965034958,0.2950174825175011,0.2950174825175011,1.0,1,-1.7154720279720204,-1.7154720279720204,5.539772727272729,5.539772727272729,-2.414772727272718,-2.414772727272718,0.0,0.0,,5.0,6.0,WAIT_CONFIRM,NO_TRADE,True
